Warning: truncated output (original token count: 71828)
Total output lines: 201

﻿Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Проект №45-64ZHGL: выберите свой дом,https://raw.githubusercontent.com/nemchenik/test/3e2fb8fb8533477f29b75bdc7f58f1e981129cff/pinterest/generated_batch_47_conversion_contrast_video/45-64ZHGL.mp4,Проекты частных домов,00:01,"Проект дома №45-64ZHGL. В коротком видео собраны внешний вид дома, его планы и фасады. Проект случайным образом выбран из полного каталога catalog-plans.ru. Параметры проекта: площадь 345,59 м²; 2 этажа; габариты 13.8×19.9 м; материал — газобетон; стиль — стиль Райта. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/45-64ZHGL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_conversion_contrast_video_batch_47&utm_content=pin_8712_45-64zhgl_conversion_contrast&utm_term=proekty-chastnyh-domov,,"проект дома 45-64ZHGL, Проекты частных домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 345,59 м², газобетон, стиль Райта"
Дом №58-95: планировки и фасады,https://raw.githubusercontent.com/nemchenik/test/3e2fb8fb8533477f29b75bdc7f58f1e981129cff/pinterest/generated_batch_47_conversion_contrast_video/58-95.mp4,Готовые проекты домов,00:01,"Проект дома №58-95. Архитектурный обзор помогает быстро оценить проект со всех сторон. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 218,57 м²; 2 этажа; габариты 13.25×13.45 м; материал — газобетон; стиль — хай-тек. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/58-95?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_conversion_contrast_video_batch_47&utm_content=pin_8713_58-95_clean_floor_plans&utm_term=gotovye-proekty-domov,,"проект дома 58-95, Готовые проекты домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 218,57 м², газобетон, хай-тек"
Проект дома №57-54AKG: смотрите детали,https://raw.githubusercontent.com/nemchenik/test/3e2fb8fb8533477f29b75bdc7f58f1e981129cff/pinterest/generated_batch_47_conversion_contrast_video/57-54AKG.mp4,Планировки загородных домов,00:01,"Проект дома №57-54AKG. Ролик показывает визуализацию, реальную планировку и чертежи фасадов. Планы этажей помогают оценить расположение комнат и общую логику дома. Параметры проекта: площадь 248,69 м²; 2 этажа; габариты 13.96×15.31 м; материал — газобетон; стиль — европейский. Перейдите к карточке дома и оцените характеристики выбранного проекта.",https://catalog-plans.ru/catalog/57-54AKG?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_conversion_contrast_video_batch_47&utm_content=pin_8714_57-54akg_graphite_facades&utm_term=planirovki-zagorodnyh-domov,,"проект дома 57-54AKG, Планировки загородных домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 248,69 м², газобетон, европейский"
Дом №40-79: удобно ли внутри?,https://raw.githubusercontent.com/nemchenik/test/3e2fb8fb8533477f29b75bdc7f58f1e981129cff/pinterest/generated_batch_47_conversion_contrast_video/40-79.mp4,Красивые фасады домов,00:01,"Проект дома №40-79. Новый формат объединяет главные материалы карточки проекта в одном видео. Четыре фасада дают представление об архитектуре со всех сторон. Параметры проекта: площадь 482,79 м²; 2 этажа; габариты 15.04×16.22 м; материал — кирпич; стиль — американский. Сохраните вариант и сравните его с другими проектами из каталога.",https://catalog-plans.ru/catalog/40-79?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_conversion_contrast_video_batch_47&utm_content=pin_8715_40-79_modern_architecture&utm_term=krasivye-fasady-domov,,"проект дома 40-79, Красивые фасады домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 482,79 м², кирпич, американский"
Проект №58-21L: вид со всех сторон,https://raw.githubusercontent.com/nemchenik/test/3e2fb8fb8533477f29b75bdc7f58f1e981129cff/pinterest/generated_batch_47_conversion_contrast_video/58-21L.mp4,Архитектура частного дома,00:01,"Проект дома №58-21L. В коротком видео собраны внешний вид дома, его планы и фасады. Проект случайным образом выбран из полного каталога catalog-plans.ru. Параметры проекта: площадь 191,53 м²; 2 этажа; габариты 10.7×15.5 м; материал — газобетон; стиль — современный. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/58-21L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_conversion_contrast_video_batch_47&utm_content=pin_8716_58-21l_conversion_contrast&utm_term=arhitektura-chastnogo-doma,,"проект дома 58-21L, Архитектура частного дома, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 191,53 м², газобетон, современный"
Дом №48-46: быстрый обзор проекта,https://raw.githubusercontent.com/nemchenik/test/3e2fb8fb8533477f29b75bdc7f58f1e981129cff/pinterest/generated_batch_47_conversion_contrast_video/48-46.mp4,Дома с планами и фасадами,00:01,"Проект дома №48-46. Архитектурный обзор помогает быстро оценить проект со всех сторон. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 118,47 м²; 1 этаж; габариты 10×15 м; материал — кирпич; стиль — европейский. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/48-46?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_conversion_contrast_video_batch_47&utm_content=pin_8717_48-46_clean_floor_plans&utm_term=doma-s-planami-i-fasadami,,"проект дома 48-46, Дома с планами и фасадами, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 118,47 м², кирпич, европейский"
Проект №46-08NAKL: выберите свой дом,https://raw.githubusercontent.com/nemchenik/test/3e2fb8fb8533477f29b75bdc7f58f1e981129cff/pinterest/generated_batch_47_conversion_contrast_video/46-08NAKL.mp4,Двухэтажные проекты домов,00:01,"Проект дома №46-08NAKL. Ролик показывает визуализацию, реальную планировку и чертежи фасадов. Планы этажей помогают оценить расположение комнат и общую логику дома. Параметры проекта: площадь 328,14 м²; 2 этажа; габариты 14.48×21.97 м; материал — кирпич; стиль — стиль Райта. Перейдите к карточке дома и оцените характеристики выбранного проекта.",https://catalog-plans.ru/catalog/46-08NAKL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_conversion_contrast_video_batch_47&utm_content=pin_8718_46-08nakl_graphite_facades&utm_term=dvuhetazhnye-proekty-domov,,"проект дома 46-08NAKL, Двухэтажные проекты домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 328,14 м², кирпич, стиль Райта"
Дом №40-04DFAL: планировки и фасады,https://raw.githubusercontent.com/nemchenik/test/3e2fb8fb8533477f29b75bdc7f58f1e981129cff/pinterest/generated_batch_47_conversion_contrast_video/40-04DFAL.mp4,Проекты частных домов,00:01,"Проект дома №40-04DFAL. Новый формат объединяет главные материалы карточки проекта в одном видео. Четыре фасада дают представление об архитектуре со всех сторон. Параметры проекта: площадь 150,37 м²; 2 этажа; габариты 10.2×10.6 м; материал — газобетон; стиль — европейский. Сохраните вариант и сравните его с другими проектами из каталога.",https://catalog-plans.ru/catalog/40-04DFAL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_conversion_contrast_video_batch_47&utm_content=pin_8719_40-04dfal_modern_architecture&utm_term=proekty-chastnyh-domov,,"проект дома 40-04DFAL, Проекты частных домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 150,37 м², газобетон, европейский"
Проект дома №46-51: смотрите детали,https://raw.githubusercontent.com/nemchenik/test/3e2fb8fb8533477f29b75bdc7f58f1e981129cff/pinterest/generated_batch_47_conversion_contrast_video/46-51.mp4,Готовые проекты домов,00:01,"Проект дома №46-51. В коротком видео собраны внешний вид дома, его планы и фасады. Проект случайным образом выбран из полного каталога catalog-plans.ru. Параметры проекта: площадь 244,95 м²; 2 этажа; габариты 11×14.3 м; материал — монолитный каркас; стиль — хай-тек. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/46-51?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_conversion_contrast_video_batch_47&utm_content=pin_8720_46-51_conversion_contrast&utm_term=gotovye-proekty-domov,,"проект дома 46-51, Готовые проекты домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 244,95 м², монолитный каркас, хай-тек"
Дом №30-60: удобно ли внутри?,https://raw.githubusercontent.com/nemchenik/test/3e2fb8fb8533477f29b75bdc7f58f1e981129cff/pinterest/generated_batch_47_conversion_contrast_video/30-60.mp4,Красивые фасады домов,00:01,"Проект дома №30-60. Архитектурный обзор помогает быстро оценить проект со всех сторон. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 443,9 м²; 3 этажа; габариты 14.25×18 м; материал — кирпич. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/30-60?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_conversion_contrast_video_batch_47&utm_content=pin_8721_30-60_clean_floor_plans&utm_term=krasivye-fasady-domov,,"проект дома 30-60, Красивые фасады домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 443,9 м², кирпич"
